University,State,City,Admission Rate (%),Average SAT,Student Size,In-State Tuition ($),Out-of-State Tuition ($),Median Earnings 10yr ($),Completion Rate (%),Median Debt ($),Nobel Prizes,March Madness 2026
Stanford University,CA,Stanford,3.6,1553,7554,65910,65910,124080,92.4,12000,22,No
Harvard University,MA,Cambridge,3.6,1553,7601,61676,61676,101817,97.5,14000,29,No
Yale University,CT,New Haven,3.9,1534,6758,67250,67250,100533,96.0,12975,9,No
Columbia University in the City of New York,NY,New York,4.0,1553,8973,71845,71845,102491,95.5,21500,18,No
University of Chicago,IL,Chicago,4.5,1554,7569,70662,70662,91885,95.4,15000,20,No
Princeton University,NJ,Princeton,4.6,1553,5709,62688,62688,110066,97.4,10320,18,No
Northeastern University,MA,Boston,5.2,1497,17326,66162,66162,92538,90.5,24250,0,No
Brown University,RI,Providence,5.4,1546,7226,71412,71412,93487,95.7,11428,3,No
University of Pennsylvania,PA,Philadelphia,5.4,1553,10650,68686,68686,111371,96.7,15715,5,Yes
Duke University,NC,Durham,5.7,1548,6442,68758,68758,97800,96.3,13000,0,Yes
Vanderbilt University,TN,Nashville,5.9,1549,7208,67498,67498,91565,93.1,14000,1,Yes
Johns Hopkins University,MD,Baltimore,6.4,1553,5693,65230,65230,87555,94.2,10250,2,No
Northwestern University,IL,Evanston,7.7,1533,9201,68322,68322,89363,95.5,15000,4,No
Cornell University,NY,Ithaca,8.8,1535,15995,69314,69314,104043,95.3,14000,8,No
University of California-Los Angeles,CA,Los Angeles,9.0,,33475,15203,49403,82511,92.6,14000,43,Yes
New York University,NY,New York,9.2,1520,28663,62796,62796,82509,88.0,20500,2,No
University of Southern California,CA,Los Angeles,9.8,1495,20443,72097,72097,92498,91.9,18000,2,No
Emory University,GA,Atlanta,10.7,1520,7298,64280,64280,80137,91.4,18250,0,No
University of California-Berkeley,CA,Berkeley,11.0,,33068,16347,50547,92446,92.9,13000,43,Yes
Boston University,MA,Boston,11.1,1480,18248,68102,68102,83238,89.3,23250,0,No
University of Notre Dame,IN,Notre Dame,11.3,1520,8818,65025,65025,99980,96.0,19000,0,No
Tufts University,MA,Medford,11.5,1513,7061,70704,70704,83214,93.4,16250,1,No
Carnegie Mellon University,PA,Pittsburgh,11.7,1546,7304,66246,66246,114862,93.3,21750,2,No
